model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
301,128,0.3,2,False,1e-05,128,25,25,1.4137109518051147,0.08919168263673782
302,128,0.3,2,False,0.0001,64,25,25,0.145822212100029,0.02791270613670349
303,128,0.3,2,False,0.0001,128,25,25,0.1564187854528427,0.0345071516931057
304,128,0.3,2,False,0.001,64,25,25,0.22760100662708282,0.08463224768638611
305,128,0.3,2,False,0.001,128,25,25,0.20943745970726013,0.07221832126379013
306,128,0.3,2,True,1e-05,64,25,25,2.0154531002044678,0.053128283470869064
307,128,0.3,2,True,1e-05,128,25,25,2.047373056411743,0.06750903278589249
308,128,0.3,2,True,0.0001,64,25,25,0.17233119904994965,0.036379214376211166
309,128,0.3,2,True,0.0001,128,25,25,0.18026432394981384,0.04158793389797211
310,128,0.3,2,True,0.001,64,25,25,0.18053042888641357,0.05457887426018715
311,128,0.3,2,True,0.001,128,25,25,0.13262590765953064,0.025858361274003983
312,128,0.3,3,False,1e-05,64,25,25,2.408496856689453,0.051006875932216644
313,128,0.3,3,False,1e-05,128,25,25,2.439563035964966,0.05836421996355057
314,128,0.3,3,False,0.0001,64,25,25,0.15197892487049103,0.02748415619134903
315,128,0.3,3,False,0.0001,128,25,25,0.1563214212656021,0.028342336416244507
316,128,0.3,3,False,0.001,64,25,25,0.23179106414318085,0.0853792279958725
317,128,0.3,3,False,0.001,128,25,25,0.24040262401103973,0.09024430811405182
318,128,0.3,3,True,1e-05,64,25,25,3.1371397972106934,0.07916116714477539
319,128,0.3,3,True,1e-05,128,25,25,3.0876235961914062,0.052202846854925156
320,128,0.3,3,True,0.0001,64,25,25,0.16331598162651062,0.03345361724495888
321,128,0.3,3,True,0.0001,128,25,25,0.1711587905883789,0.03610535338521004
322,128,0.3,3,True,0.001,64,25,25,0.13711293041706085,0.026756908744573593
323,128,0.3,3,True,0.001,128,25,25,0.13269726932048798,0.02594420686364174
