cycle_index,True SOC,SOC cell,Pred. SOC
61,0.457783167,0.398256804,0.41940874
61,0.457542721,0.398111249,0.41990274
61,0.457302101,0.397529208,0.426466
61,0.45706166,0.396729375,0.4263891
61,0.45946618,0.399567609,0.42380637
61,0.450564301,0.39114621,0.42156768
61,0.474590498,0.41474098,0.4200179
61,0.475069966,0.414151356,0.4194442
61,0.492306073,0.430524536,0.419482
61,0.49206705,0.429780092,0.4197711
61,0.491828029,0.430263945,0.42006117
61,0.491589011,0.429891739,0.42019403
61,0.491349995,0.429742879,0.4201492
61,0.491110805,0.429296375,0.41989213
61,0.490871616,0.429221968,0.4195192
61,0.490632608,0.428440897,0.41911578
61,0.490393424,0.429035967,0.41876143
61,0.490154243,0.429110365,0.41852862
61,0.489915242,0.429333579,0.4184629
61,0.489676066,0.429296375,0.41860235
61,0.489437069,0.427548681,0.41891876
61,0.489197898,0.427362862,0.41944784
61,0.488958729,0.427139906,0.42676026
61,0.488719562,0.427102749,0.426728
61,0.488480398,0.427437187,0.4241706
61,0.488241236,0.426396933,0.42193913
61,0.4880019,0.426545501,0.420403
61,0.487762743,0.425914179,0.4198375
61,0.487523411,0.426471215,0.41988015
61,0.492545276,0.431343786,0.4201846
61,0.487284259,0.426545501,0.42047855
61,0.492784126,0.431679042,0.42064473
61,0.493262189,0.432498821,0.42057914
61,0.498040155,0.435706918,0.42033517
61,0.497801429,0.434773764,0.4199782
61,0.302452718,0.258747966,0.4195854
61,0.497562528,0.435706918,0.41924006
61,0.497323629,0.43578159,0.41900682
61,0.497084733,0.435482919,0.41894764
61,0.496845839,0.434848399,0.41906
61,0.496607125,0.434363322,0.41940567
61,0.496368236,0.434176788,0.41993052
61,0.49612935,0.434736447,0.42698187
61,0.495890465,0.434214093,0.42698616
61,0.495651584,0.434624502,0.42443627
61,0.495412527,0.433505418,0.42221335
61,0.49517365,0.432983409,0.42068616
61,0.494934775,0.433878371,0.42012608
61,0.494695903,0.434027573,0.42018408
61,0.494456856,0.433542709,0.42049173
61,0.494218166,0.43287157,0.4208177
61,0.493979124,0.431790808,0.4209615
61,0.493740084,0.432163412,0.4209072
61,0.493501224,0.432126148,0.42067745
