数据点索引,预测SOC,真实SOC
751,0.3760175,0.39126366
752,0.37649632,0.39156708
753,0.37675512,0.3918705
754,0.3770981,0.39217374
755,0.3774131,0.39247695
756,0.37780982,0.39278018
757,0.37797326,0.39308357
758,0.37817818,0.39338678
759,0.37846035,0.3936898
760,0.37878698,0.39399287
761,0.37909234,0.39429605
762,0.37938112,0.39459923
763,0.37955624,0.39490244
764,0.37994796,0.39520544
765,0.38030452,0.39550844
766,0.3804937,0.39581144
767,0.3807689,0.39611444
768,0.38116992,0.39641744
769,0.38152605,0.39672026
770,0.38176262,0.39702323
771,0.3819157,0.39732602
772,0.38216782,0.39762884
773,0.38241833,0.39793178
774,0.38265628,0.39823458
775,0.38290122,0.39853737
776,0.38325745,0.3988403
777,0.38353717,0.39914307
778,0.3838727,0.39944583
779,0.38394046,0.3997486
780,0.38424164,0.40005136
781,0.38439578,0.40035412
782,0.38481322,0.40065685
783,0.38505906,0.40095943
784,0.38541,0.401262
785,0.3856098,0.40156487
786,0.38602412,0.40186742
787,0.3861204,0.40217012
788,0.38665116,0.40247267
789,0.3869686,0.4027752
790,0.38713259,0.40307775
791,0.38740772,0.40338027
792,0.38777992,0.40368262
793,0.38812453,0.40398514
794,0.38830075,0.40428746
795,0.38860884,0.4045898
796,0.3886794,0.4048923
797,0.3890034,0.4051946
798,0.38936263,0.40549695
799,0.38959986,0.40579924
800,0.3898301,0.40610155
801,0.39003503,0.4064037
802,0.39031538,0.40670598
803,0.39081606,0.4070081
804,0.3911724,0.40731022
805,0.3914403,0.4076125
806,0.3917063,0.40791446
807,0.3918358,0.40821654
808,0.39214745,0.4085188
809,0.3925151,0.4088209
810,0.39260015,0.40912282
811,0.3929761,0.4094249
812,0.39309222,0.40972695
813,0.39323494,0.41002902
814,0.3934914,0.41033092
815,0.39381522,0.41063297
816,0.3941327,0.41093487
817,0.394454,0.41123688
818,0.39486778,0.4115386
819,0.39497513,0.41184047
820,0.39547712,0.41214234
821,0.39591956,0.41244403
822,0.39616218,0.41274586
823,0.39644426,0.4130477
824,0.39660388,0.41334936
825,0.39690888,0.41365105
826,0.3971956,0.41395286
827,0.39746487,0.41425452
828,0.39774856,0.41455615
829,0.39783046,0.41485763
830,0.39817506,0.41515929
831,0.39822364,0.4154609
832,0.39861685,0.4157625
833,0.3990277,0.416064
834,0.399232,0.4163654
835,0.39961234,0.41666704
836,0.39982072,0.41696832
837,0.40013853,0.4172699
838,0.40065718,0.41757134
839,0.4006588,0.41787276
840,0.40090567,0.418174
841,0.4011525,0.4184754
842,0.40153807,0.4187768
843,0.4018897,0.41907802
844,0.40199652,0.41937926
845,0.40232158,0.41968063
846,0.4024917,0.41998202
847,0.40273532,0.42028323
848,0.4031816,0.4205844
849,0.40345067,0.42088562
850,0.40365607,0.42118695
851,0.40400705,0.42148814
852,0.40440258,0.42178917
853,0.4046638,0.42209032
854,0.40503567,0.42239133
